ID	NAME	logFC: WT NaCl response	FDR: WT NaCl response	logFC: msn24 mutant NaCl response	FDR: msn24 mutant NaCl response	logFC: yap1 mutant NaCl response	FDR: yap1 mutant NaCl response	logFC: skn7 mutant NaCl response	FDR: skn7 mutant NaCl response	logFC: WT EtOH response	FDR: WT EtOH response	logFC:  msn24 mutant EtOH response	FDR:  msn24 mutan  EtOH response	logFC:  yap1 mutant EtOH response	FDR:  yap1 mutant EtOH response	logFC:  skn7 mutant EtOH response	FDR:  skn7 mutant EtOH response	logFC: WT v msn24 mutant: NaCl response	FDR: WT v msn24 mutant: NaCl response	logFC: WT v yap1 mutant: NaCl response	FDR: WT v yap1 mutant: NaCl response	logFC: WT v skn7 mutant: NaCl response	FDR: WT v skn7 mutant NaCl response	logFC: WT v msn24 mutant: EtOH response	FDR: WT v msn24 mutant: EtOH response	logFC: WT v yap1 mutant: EtOH response	FDR: WT v yap1 mutant: EtOH response	logFC: WT v skn7 mutant: EtOH response	FDR: WT v skn7 mutant: EtOH response
YAL001C	TFC3          Subunit of RNA polymerase III transcription initiation factor complex	0.63923697	3.67E-07	0.547595443	7.17E-06	0.556043959	6.87E-06	0.572845219	4.51E-06	0.897492102	9.94E-11	0.791730358	2.64E-09	0.885382466	1.67E-10	0.966236413	1.25E-11	-0.09164153	0.832819898	-0.083193014	0.74239849	-0.066391754	0.77825269	-0.105761744	0.650739408	-0.012109636	0.97938135	0.068744311	0.835802693
YAL002W	VPS8          Membrane-binding component of the CORVET complex	0.56154682	2.26E-07	0.457785892	1.15E-05	0.283529095	0.004403696	0.270074542	0.006489716	1.463618928	8.94E-20	1.279686608	1.44E-17	1.501696702	4.20E-20	1.402581463	3.85E-19	-0.103760924	0.758657995	-0.278017721	0.113128824	-0.291472275	0.074028174	-0.183932321	0.297089511	0.038077773	0.9062198	-0.061037466	0.826977402
YAL003W	EFB1          Translation elongation factor 1 beta	-1.7657425	4.55E-23	-1.920213249	4.66E-24	-1.357406588	3.77E-19	-1.463677607	7.79E-20	-0.689327954	2.97E-10	-0.542857866	1.05E-07	-0.69883091	2.03E-10	-0.833206996	1.57E-12	-0.15447076	0.535595728	0.408335901	0.008557632	0.302064882	0.044548236	0.146470088	0.395057534	-0.009502956	0.97979088	-0.143879043	0.506390195
YAL004W	NA          NA	-0.1376008	0.87105322	0.199479571	0.813066754	-0.860175917	0.328712669	0.529063457	0.562230724	2.519620111	0.000809999	0.961326938	0.203299289	1.654416418	0.021925013	1.394582913	0.084212124	0.337080377	0.928292214	-0.722575111	0.696158562	0.666664263	0.698918894	-1.558293173	0.254880311	-0.865203693	0.66551009	-1.125037197	0.564520952
YAL005C	SSA1          ATPase involved in protein folding and NLS-directed nuclear transport	3.33464149	2.55E-21	1.66479106	3.08E-12	2.422008585	5.05E-17	2.094851772	7.88E-15	5.199852204	1.44E-27	3.212061811	5.61E-21	4.637934425	3.73E-26	4.25983159	6.12E-25	-1.669850427	3.74E-07	-0.912632903	0.00312106	-1.239789715	5.22E-05	-1.987790393	3.25E-09	-0.561917779	0.13093071	-0.940020613	0.00581638
YAL007C	ERP2          Member of the p24 family involved in ER to Golgi transport	-0.4867298	4.80E-07	-0.465153695	1.27E-06	-0.079782158	0.364006399	-0.180624149	0.039129975	1.154436205	9.65E-18	1.251603961	9.55E-19	1.123759142	2.59E-17	0.963387955	4.38E-15	0.021576076	0.963736473	0.406947613	0.00657673	0.306105622	0.034652949	0.097167756	0.578186577	-0.030677064	0.91951753	-0.19104825	0.316551856
YAL008W	FUN14          Integral mitochondrial outer membrane (MOM) protein	1.30298192	1.02E-10	1.335465896	4.73E-10	1.658731887	2.11E-13	1.274648065	4.02E-10	2.247015777	1.51E-18	1.449168741	2.98E-11	2.644757519	7.94E-21	2.093756166	2.03E-17	0.03248398	0.97347439	0.355749971	0.248702798	-0.028333851	0.93961606	-0.797847036	0.004312967	0.397741742	0.2682834	-0.153259611	0.719404947
YAL009W	SPO7          Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme	0.40692203	0.0006788	0.59150974	4.38E-06	0.474229021	0.000131265	0.377940481	0.001711728	0.501549389	4.45E-05	0.588647906	4.04E-06	0.313712015	0.008076988	0.239073958	0.038633885	0.184587715	0.585965767	0.067306996	0.803327991	-0.028981545	0.910218815	0.087098517	0.734149892	-0.187837374	0.51352903	-0.26247543	0.309220442
YAL010C	MDM10          Subunit of both the ERMES and the SAM complex	-0.3458585	0.01365191	-0.408774385	0.004346449	-0.563590182	0.000160794	-0.139171404	0.324618743	0.391434161	0.004428011	0.440393652	0.001438948	0.406511629	0.003004769	0.446291879	0.001085255	-0.062915904	0.920162355	-0.217731701	0.437459561	0.206687077	0.418770747	0.048959492	0.878383258	0.015077468	0.97886872	0.054857718	0.900423969
YAL011W	SWC3          Protein of unknown function	-0.5673147	0.00164885	-0.724668628	0.000106653	-0.649249949	0.000413633	-0.648973478	0.000416163	-1.170498715	3.19E-08	-1.147121033	2.96E-08	-1.569689822	2.52E-11	-1.013967225	2.79E-07	-0.157353946	0.816488629	-0.081935267	0.846401543	-0.081658797	0.829840254	0.023377682	0.957234278	-0.399191107	0.34899162	0.15653149	0.752181654
YAL012W	CYS3          Cystathionine gamma-lyase	-0.642116	0.00035939	-0.623357388	0.000512881	0.341248557	0.049114075	-0.347578056	0.047863484	-0.936754756	1.05E-06	-0.869348773	4.59E-06	-0.547364563	0.001864505	-0.627396295	0.000457254	0.018758622	0.983924001	0.983364567	0.001086926	0.294537954	0.348062555	0.067405983	0.868779754	0.389390193	0.32115476	0.309358461	0.45279764
YAL013W	DEP1          Component of the Rpd3L histone deacetylase complex	-0.0198174	0.91110079	0.166699292	0.331250426	0.296086682	0.082335563	0.16608648	0.334220116	-0.468324788	0.007497933	-0.521354398	0.002993424	-0.374030269	0.030037228	-0.403267739	0.017243274	0.186516713	0.753475596	0.315904103	0.333809509	0.185903901	0.568213568	-0.05302961	0.896369086	0.094294519	0.86749866	0.065057049	0.906370181
YAL014C	SYN8          Endosomal SNARE related to mammalian syntaxin 8	-0.23487	0.05978348	0.005612412	0.96739353	-0.146903505	0.259143561	-0.305055688	0.017159711	0.010762492	0.935223455	0.209539467	0.095103756	0.266361525	0.03364234	-0.059385379	0.641274838	0.240482426	0.479361033	0.087966508	0.758827891	-0.070185674	0.791142867	0.198776975	0.411397024	0.255599033	0.38300205	-0.070147871	0.851155889
YAL015C	NTG1          DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase	-0.0521948	0.73645276	0.201537663	0.187096583	0.010109489	0.950080641	-0.066910193	0.678026006	-0.947836373	1.30E-07	-0.898192321	4.03E-07	-0.906880281	4.27E-07	-0.610600457	0.000134972	0.253732476	0.553924126	0.062304302	0.864106048	-0.01471538	0.966543965	0.049644051	0.894427467	0.040956092	0.94179423	0.337235916	0.335216625
YAL016C-A	NA          NA	3.81964	3.24E-06	2.567912249	5.10E-05	0.570720777	0.481580708	0.268006829	0.765155973	2.601938453	0.002411205	-0.705261967	0.371235847	0.826778059	0.273800702	-0.157271674	0.860907568	-1.251727749	0.552881048	-3.248919221	0.025203271	-3.551633169	0.01251692	-3.30720042	0.017868325	-1.775160394	0.35954103	-2.759210127	0.125981715
YAL016W	TPD3          Regulatory subunit A of the heterotrimeric PP2A complex	0.44875931	5.32E-06	0.509847439	5.38E-07	0.229437776	0.012450402	0.229730134	0.013292073	0.847076899	1.36E-12	0.652275435	2.13E-09	0.940086654	5.65E-14	0.800004222	7.68E-12	0.061088132	0.87746998	-0.21932153	0.190144916	-0.219029173	0.164420334	-0.194801464	0.239539652	0.093009755	0.71561004	-0.047072677	0.863795638
YAL017W	PSK1          PAS domain-containing serine/threonine protein kinase	1.30923956	6.37E-18	1.085989988	3.96E-15	1.604668397	8.65E-21	1.111085241	3.33E-15	2.512550728	2.38E-28	1.727865911	3.23E-22	2.712956054	1.61E-29	2.390769	1.46E-27	-0.223249573	0.337847952	0.295428837	0.081906229	-0.198154319	0.236804531	-0.784684818	1.82E-06	0.200405326	0.35427131	-0.121781728	0.609886169
YAL019W	FUN30          Snf2p family member with ATP-dependent chromatin remodeling activity	-0.6406808	6.16E-05	-1.160613518	6.54E-10	-1.000896819	2.28E-08	-0.654456742	5.51E-05	-0.952308257	5.32E-08	-0.939170759	6.93E-08	-0.997107781	1.82E-08	-0.763882111	3.39E-06	-0.519932691	0.102882267	-0.360215993	0.199709671	-0.013775915	0.968491102	0.013137498	0.971053588	-0.044799524	0.93302431	0.188426146	0.626876594
YAL020C	ATS1          Protein required for modification of wobble nucleosides in tRNA	1.1367369	3.38E-07	1.151051583	3.67E-07	1.129005331	5.99E-07	1.056698584	2.06E-06	-0.678534139	0.001516702	-0.968670059	2.28E-05	-0.314046354	0.130762338	-0.734688929	0.000636993	0.014314685	0.987986421	-0.007731567	0.9913764	-0.080038315	0.854013897	-0.29013592	0.490507131	0.364487785	0.47324419	-0.05615479	0.933791486
YAL021C	CCR4          Component of the CCR4-NOT transcriptional complex	0.09491419	0.2605148	0.02677547	0.76384997	0.156932883	0.06438147	0.165330457	0.053743207	-0.000650035	0.99523668	0.052527811	0.545215399	0.072709381	0.389984097	-0.066620394	0.435036516	-0.068138719	0.836935933	0.062018693	0.74359541	0.070416268	0.677961804	0.053177847	0.776815249	0.073359417	0.7638894	-0.065970359	0.78230692
